,WEO Country Code,ISO,WEO Subject Code,Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
1408,156,CAN,NGDP_R,Canada,1849.272,1907.287,1940.773,1985.911,2042.976,2056.255,2077.61,2140.641,2199.358,2241.331,2128.408,2240.936,2326.537,2355.593,2387.26,2444.383,2492.633,2537.906,2582.95,2625.395
1409,156,CAN,NGDP_RPCH,Canada,3.091,3.137,1.756,2.326,2.873,0.65,1.039,3.034,2.743,1.908,-5.038,5.287,3.82,1.249,1.344,2.393,1.974,1.816,1.775,1.643
1410,156,CAN,NGDP,Canada,1666.048,1774.063,1827.201,1902.247,1994.898,1990.441,2025.535,2140.641,2235.675,2313.563,2220.527,2517.123,2813.289,2892.14,3018.52,3164.572,3297.825,3428.244,3561.186,3693.396
1411,156,CAN,NGDPD,Canada,1617.345,1793.327,1828.362,1846.595,1805.751,1556.508,1527.996,1649.266,1725.3,1743.725,1655.685,2007.472,2161.483,2142.471,2214.796,2330.308,2445.95,2559.321,2675.974,2793.495
1412,156,CAN,PPPGDP,Canada,1367.261,1439.25,1491.786,1552.463,1624.889,1650.628,1683.619,1765.763,1852.988,1899.695,1847.839,2133.084,2372.451,2488.523,2582.228,2692.053,2796.135,2899.231,3004.767,3110.156
1413,156,CAN,NGDP_D,Canada,90.092,93.015,94.148,95.787,97.647,96.799,97.494,100,101.651,103.223,104.328,112.325,120.922,122.778,126.443,129.463,132.303,135.082,137.873,140.68
1414,156,CAN,NGDPRPC,Canada,54455.247,55608.417,55987.89,56688.108,57728.737,57636.159,57627.296,58656.795,59427.109,59680.961,56013.976,58628.505,59859.556,58940.001,58026.518,58625.611,59376.221,60054.459,60514.126,60782.553
1415,156,CAN,NGDPRPPPPC,Canada,51834.438,52932.108,53293.317,53959.835,54950.381,54862.259,54853.823,55833.774,56567.014,56808.649,53318.148,55806.845,56978.649,56103.35,55233.83,55804.091,56518.576,57164.171,57601.716,57857.224
1416,156,CAN,NGDPPC,Canada,49059.883,51724.169,52711.551,54299.9,56370.195,55791.428,56182.883,58656.795,60408.402,61604.309,58438.307,65854.257,72383.231,72365.097,73370.412,75898.487,78556.463,81122.516,83432.543,85508.652
1417,156,CAN,NGDPDPC,Canada,47625.742,52285.815,52745.057,52711.32,51025.428,43628.425,42382.499,45192.368,46617.97,46430.975,43573.195,52520.512,55612.897,53607.403,53834.483,55889.665,58264.198,60561.196,62693.516,64674.355
1418,156,CAN,PPPPC,Canada,40261.543,41962.427,43035.423,44315.275,45914.79,46266.588,46699.042,48384.579,50068.12,50584.055,48630.152,55806.845,61040.881,62266.066,62765.568,64565.675,66605.848,68604.482,70396.587,72005.614
1419,156,CAN,NGAP_NPGDP,Canada,-1.754,-0.354,-0.407,0.041,1.018,-0.147,-0.949,0.374,0.553,0.358,-3.357,-1.436,0.763,-0.036,-0.486,-0.114,-0.002,0.029,0.06,0.09
1420,156,CAN,PPPSH,Canada,1.559,1.55,1.529,1.515,1.506,1.468,1.437,1.427,1.408,1.362,1.328,1.372,1.377,1.351,1.327,1.317,1.3,1.284,1.268,1.25
1421,156,CAN,PPPEX,Canada,1.219,1.233,1.225,1.225,1.228,1.206,1.203,1.212,1.207,1.218,1.202,1.18,1.186,1.162,1.169,1.176,1.179,1.182,1.185,1.188
1422,156,CAN,NID_NGDP,Canada,23.482,24.151,24.868,24.908,24.871,23.822,22.761,23.55,23.377,23.042,22.675,24.314,25.364,24.02,23.372,23.419,23.454,23.449,23.408,23.377
1423,156,CAN,NGSD_NGDP,Canada,19.918,21.438,21.337,21.766,22.551,20.326,19.673,20.748,21,21.089,20.658,24.329,24.997,23.294,22.416,22.159,21.802,21.497,21.116,20.764
1424,156,CAN,PCPI,Canada,116.467,119.858,121.675,122.817,125.158,126.567,128.375,130.425,133.383,135.983,136.958,141.608,151.242,157.108,160.941,163.956,167.275,170.623,174.032,177.54
1425,156,CAN,PCPIPCH,Canada,1.777,2.912,1.516,0.938,1.907,1.125,1.429,1.597,2.268,1.949,0.717,3.395,6.803,3.879,2.439,1.874,2.024,2.002,1.998,2.015
1426,156,CAN,PCPIE,Canada,117.767,120.9,122.1,123.267,125.7,127.3,129.1,131.467,134.167,136.933,138,144.533,154.133,159.033,162.252,165.412,168.751,171.949,175.442,178.912
1427,156,CAN,PCPIEPCH,Canada,2.228,2.661,0.993,0.956,1.974,1.273,1.414,1.833,2.054,2.062,0.779,4.734,6.642,3.179,2.024,1.947,2.019,1.895,2.031,1.978
1428,156,CAN,TM_RPCH,Canada,13.784,5.592,3.678,2.081,2.517,0.76,0.052,4.781,3.508,-0.121,-9.395,8.118,7.649,0.855,1.224,3.692,4.033,4.378,4.325,4.066
1429,156,CAN,TMG_RPCH,Canada,13.987,5.877,3.312,2.421,2.539,0.28,-0.244,5.089,2.936,-0.78,-6.98,8.764,5.729,-0.8,0.954,4.021,4.46,4.849,4.766,4.459
1430,156,CAN,TX_RPCH,Canada,6.676,4.797,2.764,2.453,6.319,3.399,1.525,1.491,3.589,2.275,-8.992,2.721,3.232,5.406,1.186,2.563,2.865,3.279,3.307,3.174
1431,156,CAN,TXG_RPCH,Canada,8.363,4.96,2.581,2.534,6.226,3.387,0.61,0.841,2.451,0.323,-7.723,1.714,2.349,4.503,0.815,2.267,2.626,3.137,3.178,3.003
1432,156,CAN,LUR,Canada,8.142,7.617,7.408,7.175,7.033,6.95,7.033,6.408,5.85,5.7,9.725,7.483,5.267,5.408,6.177,6.245,5.999,5.987,5.973,5.96
1433,156,CAN,LE,Canada,16.985,17.25,17.483,17.704,17.775,17.905,18.015,18.401,18.729,19.114,18.047,18.952,19.702,20.177,20.568,20.853,,,,
1434,156,CAN,LP,Canada,33.959,34.299,34.664,35.032,35.389,35.676,36.053,36.494,37.009,37.555,37.998,38.223,38.867,39.966,41.141,41.695,41.98,42.26,42.683,43.193
